epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.502,1.85329,2.34249,1.63314,0.39031,0.4781,0.35454,0.21789,1.35722,1.78415,1.31642,0.000662393,0.000662393,0.000662393
2,101.256,1.64423,1.77818,1.53308,0.45257,0.44161,0.39265,0.21111,1.57672,1.73051,1.46339,0.00119748,0.00119748,0.00119748
3,148.965,1.62116,1.64067,1.50092,0.53767,0.4781,0.47245,0.27126,1.51876,1.65506,1.42178,0.00160057,0.00160057,0.00160057
4,197.726,1.498,1.5327,1.42961,0.58844,0.53226,0.48105,0.28055,1.49294,1.53045,1.433,0.001406,0.001406,0.001406
5,243.624,1.4175,1.43177,1.39681,0.53917,0.54745,0.48185,0.25438,1.42237,1.68096,1.43074,0.001208,0.001208,0.001208
6,291.154,1.38464,1.36493,1.38419,0.61101,0.56204,0.57804,0.32964,1.36028,1.37624,1.39846,0.00101,0.00101,0.00101
7,339.102,1.31187,1.27742,1.3317,0.57658,0.51188,0.55092,0.33964,1.3391,1.4166,1.3589,0.000812,0.000812,0.000812
8,384.112,1.26061,1.21437,1.29165,0.60724,0.66058,0.63068,0.38282,1.24396,1.30888,1.28253,0.000614,0.000614,0.000614
9,432.543,1.22887,1.20054,1.27575,0.61322,0.67121,0.65703,0.41636,1.18016,1.25692,1.25998,0.000416,0.000416,0.000416
10,480.981,1.19507,1.15738,1.26551,0.63955,0.67345,0.68922,0.45352,1.15573,1.20056,1.24574,0.000218,0.000218,0.000218
