epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,146.692,1.56672,3.55853,1.43837,0.69229,0.13008,0.07168,0.04722,1.24033,2.68547,1.30826,0.000221806,0.000221806,0.000221806
2,283.652,1.62202,2.76131,1.44729,0.7291,0.17313,0.13118,0.08378,1.23804,2.13891,1.26506,0.000414827,0.000414827,0.000414827
3,520.838,1.55136,2.43351,1.40985,0.73822,0.19214,0.13533,0.0837,1.26873,2.48445,1.31301,0.000578499,0.000578499,0.000578499
4,654.374,1.528,2.32061,1.4213,0.63615,0.20307,0.14348,0.08421,1.262,2.90271,1.29569,0.000534934,0.000534934,0.000534934
5,817.887,1.48622,2.21134,1.40557,0.77117,0.22618,0.17586,0.1047,1.20974,2.09238,1.28212,0.000490912,0.000490912,0.000490912
6,1031.27,1.39414,2.19943,1.37982,0.64232,0.21073,0.16235,0.10129,1.20166,2.1835,1.28211,0.00044689,0.00044689,0.00044689
7,1216.4,1.32693,2.03562,1.36114,0.67644,0.22079,0.1813,0.11506,1.16578,1.83543,1.25855,0.000402868,0.000402868,0.000402868
8,1364.01,1.32343,1.937,1.35703,0.71352,0.22983,0.19983,0.11887,1.1998,1.68194,1.28385,0.000358846,0.000358846,0.000358846
9,1501.64,1.26142,1.86436,1.32515,0.7051,0.23156,0.22228,0.13143,1.17192,2.37987,1.2697,0.000314824,0.000314824,0.000314824
10,1638.77,1.22739,1.77007,1.30605,0.71885,0.23682,0.21151,0.1345,1.12009,1.96725,1.23174,0.000270802,0.000270802,0.000270802
11,1774.92,1.20581,1.71553,1.28301,0.7082,0.25203,0.20849,0.13231,1.09174,1.72543,1.21718,0.00022678,0.00022678,0.00022678
12,1917.52,1.18739,1.66878,1.27977,0.72222,0.24955,0.22821,0.13823,1.06291,1.75344,1.20741,0.000182758,0.000182758,0.000182758
13,2053.45,1.15218,1.64268,1.25529,0.71227,0.24792,0.21461,0.12848,1.07149,1.88184,1.2154,0.000138736,0.000138736,0.000138736
14,2189.35,1.10992,1.60656,1.23974,0.71121,0.25483,0.25641,0.1501,1.05151,1.97863,1.20332,9.4714e-05,9.4714e-05,9.4714e-05
15,2328.03,1.07022,1.56963,1.21715,0.72202,0.25095,0.25738,0.15207,1.02375,1.86372,1.18578,5.0692e-05,5.0692e-05,5.0692e-05
